id,title,genre
398818,Call Me by Your Name,"Romance,Drama"
70981,Prometheus,"Science Fiction,Adventure,Mystery"
14,American Beauty,Drama
324552,John Wick: Chapter 2,"Thriller,Action,Crime"
332562,A Star Is Born,"Drama,Romance,Music"
166426,Pirates of the Caribbean: Dead Men Tell No Tales,"Adventure,Action,Fantasy"
216015,Fifty Shades of Grey,"Drama,Romance,Thriller"
296096,Me Before You,"Drama,Romance"
769,GoodFellas,"Drama,Crime"
23483,Kick-Ass,"Action,Crime"
85,Raiders of the Lost Ark,"Adventure,Action"
350,The Devil Wears Prada,"Comedy,Drama,Romance"
37799,The Social Network,Drama
809,Shrek 2,"Animation,Family,Comedy,Fantasy,Adventure"
2048,"I, Robot","Action,Science Fiction"
228150,Fury,"War,Drama,Action"
351286,Jurassic World: Fallen Kingdom,"Action,Adventure,Science Fiction,Thriller"
222935,The Fault in Our Stars,"Romance,Drama"
61791,Rise of the Planet of the Apes,"Thriller,Action,Drama,Science Fiction"
1724,The Incredible Hulk,"Science Fiction,Action,Adventure"
530915,1917,"War,Drama,Action,Thriller,History"
93456,Despicable Me 2,"Animation,Comedy,Family"
6977,No Country for Old Men,"Crime,Drama,Thriller"
194,Amélie,"Comedy,Romance"
161,Ocean's Eleven,"Thriller,Crime"
240,The Godfather: Part II,"Drama,Crime"
489,Good Will Hunting,Drama
76203,12 Years a Slave,"Drama,History"
812,Aladdin,"Animation,Family,Adventure,Fantasy,Romance"
36657,X-Men,"Adventure,Action,Science Fiction"
73,American History X,Drama
49530,In Time,"Action,Thriller,Science Fiction"
745,The Sixth Sense,"Mystery,Thriller,Drama"
11036,The Notebook,"Romance,Drama"
8681,Taken,"Action,Thriller"
119450,Dawn of the Planet of the Apes,"Science Fiction,Action,Drama,Thriller"
601,E.T. the Extra-Terrestrial,"Science Fiction,Adventure,Family,Fantasy"
103,Taxi Driver,"Crime,Drama"
8358,Cast Away,"Adventure,Drama"
138843,The Conjuring,"Horror,Thriller"
38757,Tangled,"Animation,Family"
291805,Now You See Me 2,"Thriller,Action,Comedy"
9502,Kung Fu Panda,"Action,Adventure,Animation,Family,Comedy"
62,2001: A Space Odyssey,"Science Fiction,Mystery,Adventure"
1858,Transformers,"Adventure,Science Fiction,Action"
115,The Big Lebowski,"Comedy,Crime"
111,Scarface,"Action,Crime,Drama"
338952,Fantastic Beasts: The Crimes of Grindelwald,"Fantasy,Adventure,Action"
266856,The Theory of Everything,"Drama,Romance"
146233,Prisoners,"Drama,Thriller,Crime"
211672,Minions,"Family,Animation,Adventure,Comedy"
82992,Fast & Furious 6,"Action,Thriller,Crime"
75612,Oblivion,"Action,Science Fiction,Adventure,Mystery"
207,Dead Poets Society,Drama
310,Bruce Almighty,"Fantasy,Comedy"
953,Madagascar,"Family,Animation,Adventure,Comedy"
562,Die Hard,"Action,Thriller"
490132,Green Book,"Drama,Comedy"
168259,Furious 7,"Action,Thriller,Crime,Adventure"
206647,Spectre,"Action,Adventure,Thriller"
62211,Monsters University,"Animation,Family"
604,The Matrix Reloaded,"Adventure,Action,Thriller,Science Fiction"
51876,Limitless,"Thriller,Mystery,Science Fiction"
12405,Slumdog Millionaire,"Drama,Romance"
13223,Gran Torino,Drama
242582,Nightcrawler,"Crime,Drama,Thriller"
58574,Sherlock Holmes: A Game of Shadows,"Adventure,Action,Crime,Mystery"
771,Home Alone,"Comedy,Family"
8844,Jumanji,"Adventure,Fantasy,Family"
2080,X-Men Origins: Wolverine,"Adventure,Action,Thriller,Science Fiction"
18,The Fifth Element,"Adventure,Fantasy,Action,Thriller,Science Fiction"
84892,The Perks of Being a Wallflower,Drama
36557,Casino Royale,"Adventure,Action,Thriller"
1417,Pan's Labyrinth,"Fantasy,Drama,War"
293167,Kong: Skull Island,"Action,Adventure,Fantasy"
